Model,MAE,RMSE,R2
Baseline (Median by Disease),181.06985,339.9345479647516,0.0004893730385767125
LinearRegression,166.94946685467534,339.0421099574008,0.46904123192819874
RandomForest,164.0531258208475,338.29165887975176,0.5292539122381641
GradientBoosting,164.23545433774444,341.12470804780435,0.5174364845228123
XGBoost,169.29791259765625,353.762952501389,0.4813636541366577
CatBoost,165.84841897184026,345.8108603275386,0.5073317981999842
