iter	RMSE
151	17.1452329
152	17.13492875
153	17.12791371
154	17.11797322
155	17.11112416
156	17.10142991
157	17.09647387
158	17.08639937
159	17.07877186
160	17.07530628
161	17.06375259
162	17.05756404
163	17.0485074
164	17.04350395
165	17.03311089
166	17.02411464
167	17.01776583
168	17.0128856
169	17.00033973
170	16.99586794
171	16.9893476
172	16.98140092
173	16.96970797
174	16.96382599
175	16.9568031
176	16.95120984
177	16.9392595
178	16.930798
179	16.92730712
180	16.92005251
181	16.91182515
182	16.90691536
183	16.90130732
184	16.89181661
185	16.88514751
186	16.88091444
187	16.86942051
188	16.85898785
189	16.85299526
190	16.84792194
191	16.84246428
192	16.83337941
193	16.81963719
194	16.81216542
195	16.80802021
196	16.79308611
197	16.78516127
198	16.77539715
199	16.76396303
200	16.75560387
201	16.74928694
202	16.74537585
203	16.73647427
204	16.72719198
205	16.72006934
206	16.71534112
207	16.70561061
208	16.69792181
209	16.69265555
210	16.68792093
211	16.68243722
212	16.67904643
213	16.67260953
214	16.66507899
215	16.65628184
216	16.65079766
217	16.64394612
218	16.63857968
219	16.63073577
220	16.62251023
221	16.61580104
222	16.60758817
223	16.59958858
224	16.59201736
225	16.58400384
226	16.57799062
227	16.57372279
228	16.56787033
229	16.56152923
230	16.55538635
231	16.54864965
232	16.5426735
233	16.53408366
234	16.52762426
235	16.51742676
236	16.50520694
237	16.49427634
238	16.48679494
239	16.48149142
240	16.47131927
241	16.46312134
242	16.45389233
243	16.44628511
244	16.43837657
245	16.43054626
246	16.41661547
247	16.40786937
248	16.39774657
249	16.39173158
250	16.38375536
251	16.37864118
252	16.37313135
253	16.36491233
254	16.35537455
255	16.34582196
256	16.33836583
257	16.33165105
258	16.32204505
259	16.31816751
260	16.31488314
261	16.31003853
262	16.30065839
263	16.2962716
264	16.2891103
265	16.28325562
266	16.27653845
267	16.26864621
268	16.2632267
269	16.25598109
270	16.25128149
271	16.24357187
272	16.23563227
273	16.22848075
274	16.2202039
275	16.21085274
276	16.20272278
277	16.19477755
278	16.18833978
279	16.17906101
280	16.17017803
281	16.16077561
282	16.15195785
283	16.1454498
284	16.1360911
285	16.12780766
286	16.12170434
287	16.11538747
288	16.10642672
289	16.09951607
290	16.09338662
291	16.08848975
292	16.08257237
293	16.07647737
294	16.06759856
295	16.06331324
296	16.05626531
297	16.05039894
298	16.04691724
299	16.03748092
300	16.02545645
301	16.0190967
302	16.01220886
303	16.00541966
304	15.99800968
305	15.98954324
306	15.98185989
307	15.97637631
308	15.96723868
309	15.96161059
310	15.95595816
311	15.95132186
312	15.94321487
313	15.93581676
314	15.93094393
315	15.92306018
316	15.91413668
317	15.90486021
318	15.90118624
319	15.89626875
320	15.88939266
321	15.88167087
322	15.86822035
323	15.86019033
324	15.85589595
325	15.84762721
326	15.84273566
327	15.83735041
328	15.83316251
329	15.8275281
330	15.82165623
331	15.81165085
332	15.8068066
333	15.80120957
334	15.79375786
335	15.78567074
336	15.7764464
337	15.77004539
338	15.76477929
339	15.76076791
340	15.75418051
341	15.74733232
342	15.74239905
343	15.73603704
344	15.72957971
345	15.72337168
346	15.71471299
347	15.70839663
348	15.70127104
349	15.69496668
350	15.6905571
351	15.68462112
352	15.682955
353	15.67803398
354	15.67120735
355	15.66103287
356	15.65600743
357	15.65013726
358	15.64822753
359	15.64344154
360	15.63989239
361	15.6335111
362	15.62518174
363	15.62047747
364	15.61697545
365	15.6096697
366	15.60557681
367	15.60136444
368	15.59607016
369	15.58859048
370	15.5814069
371	15.57809516
372	15.57136941
373	15.56541389
374	15.55845672
375	15.55438433
376	15.54982953
377	15.54343987
378	15.53370463
379	15.52742836
380	15.52095283
381	15.51844235
382	15.51090288
383	15.50604338
384	15.50174845
385	15.49270626
386	15.48677064
387	15.48332053
388	15.47938017
389	15.47522809
390	15.47129632
391	15.46579514
392	15.46331747
393	15.45376516
394	15.44769516
395	15.44127536
396	15.4368945
397	15.43133876
398	15.42315234
399	15.41699011
400	15.41377394
401	15.40867509
402	15.40442114
403	15.39367949
404	15.39009117
405	15.38433611
406	15.37872027
407	15.3733293
408	15.36546702
409	15.36253542
410	15.35627393
411	15.34990714
412	15.34504376
413	15.33754558
414	15.33207947
415	15.32780964
416	15.32420065
417	15.31635308
418	15.31072157
419	15.30523605
420	15.30030286
421	15.29553291
422	15.29008515
423	15.28399484
424	15.27670174
425	15.26756444
426	15.26000515
427	15.25529005
428	15.24908859
429	15.24416086
430	15.23924819
431	15.23074672
432	15.22398043
433	15.21578642
434	15.20672978
435	15.20024055
436	15.19384175
437	15.18803557
438	15.184532
439	15.17845931
440	15.17207366
441	15.16650935
442	15.15702291
443	15.1503701
444	15.14717959
445	15.14404407
446	15.13677021
447	15.12973377
448	15.12433779
449	15.11906304
450	15.11317307
451	15.10917655
452	15.10520586
453	15.10042248
454	15.09371425
455	15.08464911
456	15.07726685
457	15.07181811
458	15.06541158
459	15.06249452
460	15.05781964
461	15.0509373
462	15.03981927
463	15.03526146
464	15.02669184
465	15.02269212
466	15.01897189
467	15.01602112
468	15.01386418
469	15.01006454
470	15.00577296
471	14.99591789
472	14.99086779
473	14.98313909
474	14.98052102
475	14.97040977
476	14.96584493
477	14.95940575
478	14.95409247
479	14.947753
480	14.94474321
481	14.94106174
482	14.92884059
483	14.92427986
484	14.91964374
485	14.91665651
486	14.90760914
487	14.89955679
488	14.89532699
489	14.88987327
490	14.88441865
491	14.87885083
492	14.8721372
493	14.86650837
494	14.85543431
495	14.85230639
496	14.84913428
497	14.84258514
498	14.83897509
499	14.83471985
500	14.82602663
501	14.81893456
502	14.81488927
503	14.81200328
504	14.80870349
505	14.8036127
506	14.79893053
507	14.7892662
508	14.78327586
509	14.77597667
510	14.76632512
511	14.76241314
512	14.75637908
513	14.75257148
514	14.74816022
515	14.74437092
516	14.73959416
517	14.7355687
518	14.73109142
519	14.7230856
520	14.71690953
521	14.70860634
522	14.70500934
523	14.70047648
524	14.69399576
525	14.68698804
526	14.68281828
527	14.67701445
528	14.67221757
529	14.66355968
530	14.65810052
531	14.65306406
532	14.64774508
533	14.64259842
534	14.63842613
535	14.63422097
536	14.62949509
537	14.6231706
538	14.61555887
539	14.61131888
540	14.60391826
541	14.59704547
542	14.59105631
543	14.58622422
544	14.57937533
545	14.57574756
546	14.57300773
547	14.56958004
548	14.56689166
549	14.56316751
550	14.55938102
551	14.5504228
552	14.5452113
553	14.53694754
554	14.53204517
555	14.52832139
556	14.51999011
557	14.51368437
558	14.50871037
559	14.50342297
560	14.50071753
561	14.4907964
562	14.48941901
563	14.48435624
564	14.4797957
565	14.4758975
566	14.47172955
567	14.46302186
568	14.46023229
569	14.45614494
570	14.45088803
571	14.44614887
572	14.43832949
573	14.43219332
574	14.4277338
575	14.42124279
576	14.41797416
577	14.41214675
578	14.4056757
579	14.40282761
580	14.39825042
581	14.39193513
582	14.38835616
583	14.38562189
584	14.38061404
585	14.37233382
586	14.36796221
587	14.36518208
588	14.35800692
589	14.35055161
590	14.34585227
591	14.33970574
592	14.33474473
593	14.33176046
594	14.32787524
595	14.3240647
596	14.31873559
597	14.31088239
598	14.30370271
599	14.29659957
600	14.28949937
601	14.28617814
602	14.27863154
603	14.27682724
604	14.27196599
605	14.26681366
606	14.26126033
607	14.256232
608	14.24746698
609	14.24389476
610	14.24099774
611	14.23688708
612	14.23164002
613	14.22875229
614	14.22547833
615	14.22241278
616	14.22002155
617	14.21549517
618	14.20833693
619	14.20372251
620	14.20067397
621	14.1984352
622	14.19499746
623	14.19091562
624	14.18306199
625	14.17397831
626	14.16888939
627	14.16398116
628	14.15829758
629	14.15296714
630	14.14721138
631	14.14076533
632	14.13351205
633	14.12828652
634	14.1216321
635	14.11497053
636	14.11095263
637	14.10516775
638	14.10156882
639	14.09682155
640	14.09310865
641	14.08945852
642	14.08313661
643	14.07604976
644	14.06767863
645	14.06291815
646	14.05438215
647	14.04906597
648	14.04353789
649	14.04001243
650	14.03686757
651	14.03270752
652	14.02887874
653	14.022368
654	14.0193549
655	14.01149484
656	14.00845852
657	14.00016499
658	13.99848578
659	13.99322446
660	13.98807112
661	13.9828305
662	13.97783885
663	13.97357685
664	13.9666175
665	13.96259826
666	13.95842685
667	13.95260042
668	13.94870746
669	13.94494771
670	13.94150225
671	13.93888455
672	13.93478247
673	13.93008057
674	13.92231718
675	13.914381
676	13.9100165
677	13.90583779
678	13.89920942
679	13.89754158
680	13.89570472
681	13.89030629
682	13.88616062
683	13.88023133
684	13.87622461
685	13.87252864
686	13.86874532
687	13.86695325
688	13.85650375
689	13.85464546
690	13.84438717
691	13.83708318
692	13.83313126
693	13.82674752
694	13.82136736
695	13.81879665
696	13.81436696
697	13.8107002
698	13.80750437
699	13.80063516
700	13.79789935
701	13.79196021
702	13.78414376
703	13.78062847
704	13.77365099
705	13.770369
706	13.76755843
707	13.76385004
708	13.75390686
709	13.75152426
710	13.74857112
711	13.74218974
712	13.73630723
713	13.73376516
714	13.73126196
715	13.72681714
716	13.72110529
717	13.71535366
718	13.71209914
719	13.71064028
720	13.70660713
721	13.70187631
722	13.69823275
723	13.69163818
724	13.68848945
725	13.68346317
726	13.68080529
727	13.67781809
728	13.67410059
729	13.66706133
730	13.6634043
731	13.65510456
732	13.64838236
733	13.64333344
734	13.63660192
735	13.63226714
736	13.62825294
737	13.62382081
738	13.61747846
739	13.61536171
740	13.61178046
741	13.60672016
742	13.60294823
743	13.59887485
744	13.59071615
745	13.58744953
746	13.58103308
747	13.57712224
748	13.56950835
749	13.56657307
750	13.56386214
751	13.55685834
752	13.55185233
753	13.54865626
754	13.54058904
755	13.53429095
756	13.53035995
757	13.52479595
758	13.52020338
759	13.51605649
760	13.51084581
761	13.50789276
762	13.50380889
763	13.50230864
764	13.49938753
765	13.49733804
766	13.49370795
767	13.48966325
768	13.48497023
769	13.48184929
770	13.47748027
771	13.47297737
772	13.46963769
773	13.46406239
774	13.45893104
775	13.45389758
776	13.44952608
777	13.44495481
778	13.44303061
779	13.43705825
780	13.43231688
781	13.42605514
782	13.42345923
783	13.41905215
784	13.41624675
785	13.41182393
786	13.41008768
787	13.4069353
788	13.40386575
789	13.40121932
790	13.39543114
791	13.39293604
792	13.38874621
793	13.38654409
794	13.38111428
795	13.37830521
796	13.37651236
797	13.37438071
798	13.3719329
799	13.36961842
800	13.3666711
801	13.36007003
802	13.35857757
803	13.35440325
804	13.34866117
805	13.34139488
806	13.3350799
807	13.33230566
808	13.32786293
809	13.32418702
810	13.31633724
811	13.31246164
812	13.30962041
813	13.3079132
814	13.30240246
815	13.29540073
816	13.29073667
817	13.28825431
818	13.28678784
819	13.28262565
820	13.27830999
821	13.27538744
822	13.27266223
823	13.26843457
824	13.26337339
825	13.26002366
826	13.25848551
827	13.25532664
828	13.24894438
829	13.2477869
830	13.24446593
831	13.24005889
832	13.23695124
833	13.23345434
834	13.2276987
835	13.22285137
836	13.21925627
837	13.21643426
838	13.21145547
839	13.20732349
840	13.20288144
841	13.19637571
842	13.19080765
843	13.18825855
844	13.1841671
845	13.18285223
846	13.17856687
847	13.17089934
848	13.16570742
849	13.1632269
850	13.15719292
851	13.15411388
852	13.14655407
853	13.14318603
854	13.14110823
855	13.13768812
856	13.13149955
857	13.12966224
858	13.123115
859	13.11872805
860	13.11537737
861	13.10945454
862	13.10671172
863	13.10383016
864	13.10019454
865	13.09502602
866	13.09295856
867	13.08991837
868	13.08690628
869	13.08480198
870	13.08065887
871	13.075879
872	13.07230844
873	13.06877997
874	13.06534597
875	13.06221979
876	13.05739486
877	13.05441403
878	13.05018069
879	13.04521084
880	13.03961261
881	13.03709827
882	13.03304172
883	13.03176081
884	13.02780109
885	13.02594002
886	13.02382728
887	13.01924744
888	13.01650962
889	13.01298592
890	13.00607373
891	12.99960603
892	12.99738708
893	12.99493342
894	12.99246917
895	12.9872338
896	12.98485306
897	12.98189718
898	12.9766217
899	12.97368086
900	12.97049667
901	12.96847919
902	12.96306549
903	12.95838331
904	12.9559302
905	12.95104354
906	12.94859266
907	12.94547937
908	12.939642
909	12.93399716
910	12.92784312
911	12.92355715
912	12.92124566
913	12.91644907
914	12.9132841
915	12.90997194
916	12.90658822
917	12.90141052
918	12.89858431
919	12.89725846
920	12.89269088
921	12.89090335
922	12.88733326
923	12.88248377
924	12.87598855
925	12.87425695
926	12.87057575
927	12.86793322
928	12.86586338
929	12.86069143
930	12.85737208
931	12.85274438
932	12.84733493
933	12.84466864
934	12.84201603
935	12.83737411
936	12.83438019
937	12.83056763
938	12.82701748
939	12.82224907
940	12.81910526
941	12.81632402
942	12.81152907
943	12.80587735
944	12.80076591
945	12.79887618
946	12.79484708
947	12.79107594
948	12.78796288
949	12.78453206
950	12.77910978
951	12.77610262
952	12.77394647
953	12.77060547
954	12.76740573
955	12.76524871
956	12.76131127
957	12.75752818
958	12.75411842
959	12.74887402
960	12.74781496
961	12.74551693
962	12.74301356
963	12.73802501
964	12.73238243
965	12.72655557
966	12.72341135
967	12.72065939
968	12.71831771
969	12.71522652
970	12.71189706
971	12.7090008
972	12.70583999
973	12.69793087
974	12.69541923
975	12.69471092
976	12.68993901
977	12.68591511
978	12.68382036
979	12.67939253
980	12.67529173
981	12.67260931
982	12.66905894
983	12.66543022
984	12.66206484
985	12.65626394
986	12.6524531
987	12.64774048
988	12.64238344
989	12.63989114
990	12.63617173
991	12.63342725
992	12.63059184
993	12.62720288
994	12.62206893
995	12.6194395
996	12.61422666
997	12.61018826
998	12.60527585
999	12.60264181
